index,track_name,author,genre,play_count,download_count,comments_count,like_count,audio_url
0,Take It Back,HyeNRG,Drum & Bass,23,2,1,5,https://soundcloud.com/hyenrg/take-it-back
1,Friction,HyeNRG,UK Hardcore,38,1,1,6,https://soundcloud.com/hyenrg/friction
2,SOULFUL GENERATION BY DJ DS (FRANCE) HOUSESTATIONRADIO NOVEMBER 26TH 2021,DJ DS(SOULFUL GENERATION),House-ClubMixShow,73,5,2,12,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-ds-france-housestationradio-november-26th-2021
3,Back 2 Me,HyeNRG,Drum & Bass,20,6,0,5,https://soundcloud.com/hyenrg/back-2-me
4,Rise With Me,Josephine Mary Schmidt,Christian music,null,null,null,null,https://soundcloud.com/josephine-schmidt/rise-with-me
5,Audiospektrum,Andre Roider,Techno,40,3,0,8,https://soundcloud.com/andre-roider/audiospektrum
6,Feel Good Renegade,HyeNRG,Rave Breaks,215,15,3,18,https://soundcloud.com/hyenrg/feel-good-renegade
7,Play [140BPM],Andre Roider,Techno,112,6,1,6,https://soundcloud.com/andre-roider/play
8,Halloween 2021 - FREE Public Domain Sample Pack ~ preview,Story of the Lie,Sample Pack,84,0,0,3,https://soundcloud.com/storyofthelie/free-halloween-2021-sample-pack-preview
9,SOULFUL GENERATION ON HOUSESTATION RADIO BY DJ DS(FRANCE) SEPTEMBER 24TH 2021,DJ DS(SOULFUL GENERATION),House,106,7,0,10,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-on-housestation-radio-by-dj-dsfrance-september-24th-2021
10,NOW THAT'S WHAT I CALL FUNK 80S REMIXES MIX BY DJD DS(FRANCE),DJ DS(SOULFUL GENERATION),FUNK REWORK 80S,107,15,1,12,https://soundcloud.com/djdssoulfulgeneration/now-thats-what-i-call-funk-80s-remixes-mix-by-djd-dsfrance
11,Paradise,HyeNRG,Jungle,79,5,1,5,https://soundcloud.com/hyenrg/paradise
12,NOW THAT'S WHAT I CALL FUNK 80S REMIXES MIX BY DJD DS(FRANCE),DJ DS(SOULFUL GENERATION),FUNK REWORK 80S,107,15,1,12,https://soundcloud.com/djdssoulfulgeneration/now-thats-what-i-call-funk-80s-remixes-mix-by-djd-dsfrance
13,Machine Rhythm,HyeNRG,Breakbeat,60,4,0,6,https://soundcloud.com/hyenrg/machine-rhythm
14,Free samples Lo - Fi (pad y kick version Comprimida),Recursos Tonales,Hip-hop & Rap,48,5,1,3,https://soundcloud.com/user-944476090/free-samples-lo-fi-pad-y-kick-version-comprimida
15,Bad Roots,HyeNRG,Jungle,48,7,0,2,https://soundcloud.com/hyenrg/bad-roots
16,Virtual Reality,HyeNRG,Hardcore,33,3,0,3,https://soundcloud.com/hyenrg/virtual-reality
17,SOULFUL GENERATION BY DJ DS(FRANCE) HOUSESTATION RADIO JULY 9TH 2021,DJ DS(SOULFUL GENERATION),SUMMER RADIO DJ MIX SET,187,9,4,15,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-dsfrance-housestation-radio-july-9th-2021
18,I Won't Stop,HyeNRG,Oldschool Rave,49,6,2,6,https://soundcloud.com/hyenrg/i-wont-stop
19,Ending The Dream,Loutre Ott,Synthwave,123,6,2,4,https://soundcloud.com/loutreott/ending-the-dream
20,Horizon,Loutre Ott,Synthwave,120,9,3,6,https://soundcloud.com/loutreott/horizon
21,Automatic,HyeNRG,Oldschool Rave,38,3,0,3,https://soundcloud.com/hyenrg/automatic
22,SOULFUL GENERATION BY DJ DS (FRANCE) HOUSE STATION RADIO APRIL 16th 2021,DJ DS(SOULFUL GENERATION),ClubMixShow,266,14,11,20,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-ds-france-house-station-radio-april-16th-2021
23,Homecoming,Dr. Beak,Folk & Singer-Songwriter,129,4,4,12,https://soundcloud.com/drbeak/homecoming
24,SOULFUL GENERATION BY DJ DS (FRANCE) HOUSESTATION RADIO APRIL 9TH 2021,DJ DS(SOULFUL GENERATION),Soulful-Talk-Mix-Show,81,0,4,8,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-ds-france-housestation-radio-april-9th-2021
25,SOULFUL GENERATION  BY DJDS(FRANCE) HOUSE STATION RADIO MARCH 12TH 2021,DJ DS(SOULFUL GENERATION),#Club-House,182,10,4,10,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-djdsfrance-house-station-radio-march-12th-2021
26,Ride With Me,HyeNRG,Rave Breaks,61,7,2,6,https://soundcloud.com/hyenrg/ride-with-me
27,SOULFUL GENERATION  BY DJDS(FRANCE) HOUSESTATIONRADIO FEBRUARY 26TH 2021,DJ DS(SOULFUL GENERATION),Podcast-Radio-Talk-Mix-Show,119,9,12,14,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-djdsfrance-housestationradio-february26th2021
28,SOULFUL GENERATION BY DJ DS (FRANCE) HOUSESTATION RADIO JANUARY 29TH 2021,DJ DS(SOULFUL GENERATION),House,198,13,8,19,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-ds-france-housestation-radio-january-29th-2021
29,SOULFUL GENERATION BY DJ DS (FRANCE) HOUSESTATION RADIO JANUARY 15TH 2021,DJ DS(SOULFUL GENERATION),House,210,18,1,20,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-ds-france-housestation-radio-january-15th-2021
30,Right On Time,HyeNRG,Happy Hardcore,207,14,3,13,https://soundcloud.com/hyenrg/right-on-time
31,SOULFUL GENERATION BY DJ DS(FRANCE)HOUSESTATIONRADIO JUNE 5 Th 2019,DJ DS(SOULFUL GENERATION),House,262,0,3,11,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-dsfrancehousestationradio-june-5-th-2019
32,SOULFUL GENERATION BY DJ DS (FRANCE) ON GHM RADIO NEW YEAR MIX 3 JANUARY 20Th 2019,DJ DS(SOULFUL GENERATION),Club Soulful,210,6,1,17,https://soundcloud.com/djdssoulfulgeneration/soulful-generation-by-dj-ds-france-on-ghm-radio-new-year-mix-3-january-20th-2019
33,KNYD - Shit I Do Like (Gioest Remix),Gioest,Trap,6004,58,7,140,https://soundcloud.com/gioest/knyd-shit-i-do-like-gioest-remix
34,Rise With Me,Josephine Mary Schmidt,Christian music,null,null,null,null,https://soundcloud.com/josephine-schmidt/rise-with-me
35,I'm so happy I could explode,light:box:therapy,Indie Pop,268,22,1,8,https://soundcloud.com/lightboxtherapy/im-so-happy-i-could-explode
36,MRBiGK - We Are Mashup (We Are Roots riddim by Blend Mishkin) *DL link @ Description*,MRBiGK,Reggaehiphop,26159,2,24,393,https://soundcloud.com/mrbigk/mrbigk-we-are-roots-mashup1
37,The Partysquad & DJ Punish - Mash it up,The Partysquad,,35952,5336,44,561,https://soundcloud.com/thepartysquad/the-partysquad-punish-mash-it
38,"Kid N Play ""Rollin With Kid N Play"" (AGFA vs Qdup Re-Rub) Free Download",ALL GOOD FUNK ALLIANCE,Future Go-Go,46288,3460,45,562,https://soundcloud.com/all-good-funk-alliance/kid-n-play-rollin-with-kid-n
39,The Sparks for your Life Mixtape by Alice orpheus Vol 1.,Soul Lab by AO,Mixtape,3210,122,2,24,https://soundcloud.com/aliceorpheus/the-sparks-for-your-life
40,Jungle Jim - The Night Train,Jungle Jim,House,4575,391,3,65,https://soundcloud.com/jungle-jim/the-night-train
41,* MindUp * (15-05-2010),MindUp,Free-Download,3936,100,3,2,https://soundcloud.com/mindup/mindup-15-05-2010
